Date,Volume,Volume
1989-12-20,1734400,20060000
1989-12-21,1722400,22750000
1989-12-22,1432800,11320000
1989-12-26,1162400,7510000
1989-12-27,1180000,12500000
1989-12-28,1579200,12200000
1989-12-29,1187200,14580000
1990-01-02,2886400,20680000
1990-01-03,1931200,23620000
1990-01-04,1510400,24370000
1990-01-05,1352000,20290000
1990-01-08,1341600,16610000
1990-01-09,987200,15800000
1990-01-10,1597600,19950000
1990-01-11,1671200,15790000
1990-01-12,1788800,24180000
1990-01-15,2764800,18630000
1990-01-16,3372000,25000000
1990-01-17,2110400,21310000
1990-01-18,3054400,22750000
1990-01-19,3004000,23360000
1990-01-22,2497600,20060000
1990-01-23,1619200,22520000
1990-01-24,4191200,28070000
1990-01-25,2900800,22160000
1990-01-26,2575200,25730000
1990-01-29,2174400,16540000
1990-01-30,2097600,24910000
1990-01-31,2971200,22510000
1990-02-01,2078400,19800000
1990-02-02,1813600,18700000
1990-02-05,1551200,13650000
1990-02-06,1368800,16210000
1990-02-07,2544800,20750000
1990-02-08,2127200,20620000
1990-02-09,2008800,15590000
1990-02-12,773600,12420000
1990-02-13,1825600,18920000
1990-02-14,2372000,14730000
1990-02-15,3607200,18180000
1990-02-16,3103200,23130000
1990-02-20,3630400,17460000
1990-02-21,2114400,20680000
1990-02-22,2896000,21200000
1990-02-23,2920800,19600000
1990-02-26,1831200,17800000
1990-02-27,2897600,21700000
1990-02-28,2606400,22990000
1990-03-01,2223200,23220000
1990-03-02,3359200,20100000
1990-03-05,5688800,19790000
1990-03-06,10148000,22340000
1990-03-07,3670400,22540000
1990-03-08,2359200,21850000
1990-03-09,4377600,21700000
1990-03-12,4861600,16960000
1990-03-13,5262400,20120000
1990-03-14,4288800,16840000
1990-03-15,2846400,16670000
1990-03-16,10056000,36310000
1990-03-19,4756000,17440000
1990-03-20,8769600,22400000
1990-03-21,4281600,14800000
1990-03-22,5179200,21710000
1990-03-23,2517600,19010000
1990-03-26,2180800,12840000
1990-03-27,2143200,14320000
1990-03-28,2546400,16710000
1990-03-29,5999200,15080000
1990-03-30,3416800,15400000
1990-04-02,2029600,16050000
1990-04-03,4013600,18040000
1990-04-04,3025600,21250000
1990-04-05,1836800,13640000
1990-04-06,1066400,12190000
1990-04-09,1236000,10490000
1990-04-10,1532000,13130000
1990-04-11,1254400,15760000
1990-04-12,2220000,13000000
1990-04-16,2544800,19550000
1990-04-17,1501600,14620000
1990-04-18,3002400,19150000
1990-04-19,2583200,17630000
1990-04-20,3949600,24970000
1990-04-23,2339200,16130000
1990-04-24,1990400,14920000
1990-04-25,2989600,15780000
1990-04-26,1958400,15830000
1990-04-27,1662400,15850000
1990-04-30,1679200,14250000
1990-05-01,1462400,15650000
1990-05-02,1724800,16590000
1990-05-03,1872800,18080000
1990-05-04,2672800,15500000
1990-05-07,1675200,14250000
1990-05-08,2191200,14090000
1990-05-09,2440800,18310000
1990-05-10,2376800,20030000
1990-05-11,3564000,31500000
1990-05-14,2913600,30510000
1990-05-15,1124800,21100000
1990-05-16,2344800,17030000
1990-05-17,2783200,19090000
1990-05-18,4709600,25250000
1990-05-21,3904800,19430000
1990-05-22,3883200,23850000
1990-05-23,2235200,19840000
1990-05-24,3451200,22130000
1990-05-25,1015200,16250000
1990-05-29,2385600,17480000
1990-05-30,2323200,25180000
1990-05-31,1844800,17810000
