Date,WBA,UNH,TRV,VZ,WMT,PG,UTX,DOW
1988-08-10,1908800,185600,357600,1597900,4790400,5571200,2672800,22390000
1988-08-11,2006400,502400,160000,657700,4592000,4214400,1453600,27400000
1988-08-12,2152000,310400,72800,398000,1889600,2750400,2009600,13430000
1988-08-15,3603200,1043200,278800,601200,2950400,4740800,786400,15450000
1988-08-16,3420800,214400,2161600,836500,4286400,5664000,1645600,20440000
1988-08-17,3513600,611200,1291600,1046000,3950400,5715200,1537600,16820000
1988-08-18,1678400,451200,231600,566400,4138400,6918400,1305600,14070000
1988-08-19,1225600,496000,282400,1083800,3864800,5510400,1449600,16280000
1988-08-22,849600,352000,356400,571800,2823200,4238400,1351200,13640000
1988-08-23,1617600,777600,446400,661600,5278400,3467200,2071200,14530000
1988-08-24,1115200,736000,705200,553600,4601600,5488000,1187200,14480000
1988-08-25,2179200,2742400,410400,945900,3395200,2612800,1496800,14630000
1988-08-26,1060800,8838400,672000,587900,2093600,1873600,2300000,10930000
1988-08-29,1715200,96000,777600,772000,2044000,2056000,1516800,11390000
1988-08-30,2755200,665600,333600,744800,3268000,2990400,1064000,11040000
1988-08-31,1980800,342400,1329600,667000,3312000,2555200,988000,11990000
1988-09-01,1296000,1379200,1154800,945500,7547200,3768000,3510400,16540000
1988-09-02,3723200,1043200,2044000,1220200,5039200,6147200,1270400,17210000
1988-09-06,1371200,1059200,800400,472600,4116800,4324800,1241600,12870000
1988-09-07,1696000,537600,744800,725700,4812800,5913600,1562400,14400000
1988-09-08,2024000,1126400,628800,619900,4044000,2484800,1792800,13250000
1988-09-09,1126400,592000,382400,1229200,5329600,3987200,2425600,16890000
1988-09-12,616000,2044800,536000,730600,4519200,3379200,2209600,15130000
1988-09-13,1083200,2147200,617600,536700,3878400,5846400,3728000,14080000
1988-09-14,1542400,3516800,1558800,763200,4745600,6867200,1760800,21440000
1988-09-15,561600,902400,531600,693700,2820000,4913600,1847200,15250000
1988-09-16,1803200,6812800,449600,2012000,10250400,9417600,3652800,29580000
1988-09-19,958400,1174400,364000,889400,3630400,2779200,3233600,15350000
1988-09-20,1136000,4771200,228800,689200,2694400,1859200,944000,13200000
1988-09-21,1038400,883200,354000,542400,3020000,2868800,807200,12970000
1988-09-22,1003200,7974400,344400,1634400,3231200,4251200,2157600,14370000
1988-09-23,1272000,5228800,1741600,2781000,4270400,3864000,2806400,17090000
1988-09-26,1376000,5609600,467200,13217300,2249600,1956800,2796800,9030000
1988-09-27,609600,2409600,300000,1873300,1408800,3689600,1704000,11410000
1988-09-28,5332800,768000,357200,648900,2639200,1694400,1728000,11930000
1988-09-29,7889600,668800,1703200,1074400,10095200,3864000,1557600,19200000
1988-09-30,4369600,2758400,822000,1054900,5333600,7536000,1973600,20120000
1988-10-03,1672000,486400,463600,1082000,4843200,3708800,1988800,14490000
1988-10-04,1923200,2172800,315600,420100,2894400,2633600,4561600,13550000
1988-10-05,1252800,1360000,520000,739600,5938400,3814400,3277600,21070000
1988-10-06,928000,4153600,269200,488300,3092800,2512000,3607200,16880000
1988-10-07,3419200,2812800,1160000,2042200,10793600,10822400,3512800,27500000
1988-10-10,5963200,89600,324400,597600,3214400,3174400,2276800,15560000
1988-10-11,7552000,1174400,71200,600800,3267200,4443200,1920800,14180000
1988-10-12,23369600,944000,637200,1135800,4106400,4926400,3389600,17840000
1988-10-13,8459200,51200,300000,705300,3159200,3260800,1852800,15730000
1988-10-14,7244800,48000,530400,765300,3136000,5654400,2272000,15620000
1988-10-17,2384000,2809600,771200,379200,2512800,3264000,2036800,12970000
1988-10-18,2724800,1232000,1574800,459700,3592800,4740800,2925600,19450000
1988-10-19,2427200,1558400,958800,976600,5616800,5572800,1816800,21580000
1988-10-20,7680000,892800,678400,932600,4749600,6316800,2067200,24030000
1988-10-21,3678400,662400,414400,1231900,6288000,13419200,2957600,30340000
1988-10-24,2785600,681600,876000,670600,4213600,7696000,1547200,16280000
1988-10-25,1403200,556800,416800,671000,2864000,5780800,1567200,15080000
1988-10-26,2284800,131200,365200,750600,6885600,9334400,5449600,19830000
1988-10-27,6316800,665600,1204800,817300,4580000,6843200,1965600,19330000
1988-10-28,2489600,1216000,953600,508200,3609600,3889600,1772000,17200000
1988-10-31,2921600,214400,389600,1250600,5103200,2595200,1548000,19330000
1988-11-01,2089600,2614400,1976000,1533400,5150400,4004800,1224000,18110000
1988-11-02,5360000,496000,363600,787600,6159200,6297600,2032800,21690000
1988-11-03,4166400,1625600,626000,434800,5233600,6363200,2048000,21670000
