Date,TRV,DOW
1990-02-02,1184400,18700000
1990-02-05,703200,13650000
1990-02-06,537600,16210000
1990-02-07,582000,20750000
1990-02-08,1041200,20620000
1990-02-09,2251600,15590000
1990-02-12,1311200,12420000
1990-02-13,2006400,18920000
1990-02-14,712800,14730000
1990-02-15,269600,18180000
1990-02-16,634800,23130000
1990-02-20,412000,17460000
1990-02-21,726400,20680000
1990-02-22,872000,21200000
1990-02-23,364800,19600000
1990-02-26,1149600,17800000
1990-02-27,479200,21700000
1990-02-28,1394000,22990000
1990-03-01,503200,23220000
1990-03-02,940800,20100000
1990-03-05,576400,19790000
1990-03-06,810800,22340000
1990-03-07,644400,22540000
1990-03-08,660800,21850000
1990-03-09,642000,21700000
1990-03-12,154400,16960000
1990-03-13,1720800,20120000
1990-03-14,1800400,16840000
1990-03-15,1800800,16670000
1990-03-16,2016000,36310000
1990-03-19,509200,17440000
1990-03-20,1250000,22400000
1990-03-21,3017600,14800000
1990-03-22,500800,21710000
1990-03-23,121600,19010000
1990-03-26,657200,12840000
1990-03-27,4393200,14320000
1990-03-28,1130000,16710000
1990-03-29,713200,15080000
1990-03-30,348400,15400000
1990-04-02,302000,16050000
1990-04-03,279200,18040000
1990-04-04,230400,21250000
1990-04-05,107200,13640000
1990-04-06,164400,12190000
1990-04-09,218800,10490000
1990-04-10,125200,13130000
1990-04-11,256400,15760000
1990-04-12,164800,13000000
1990-04-16,153200,19550000
1990-04-17,571600,14620000
1990-04-18,303200,19150000
1990-04-19,247200,17630000
1990-04-20,577600,24970000
1990-04-23,339200,16130000
1990-04-24,516800,14920000
1990-04-25,280400,15780000
1990-04-26,694800,15830000
1990-04-27,1634800,15850000
1990-04-30,374800,14250000
1990-05-01,315600,15650000
1990-05-02,924400,16590000
1990-05-03,1251600,18080000
1990-05-04,565600,15500000
1990-05-07,1676000,14250000
1990-05-08,270400,14090000
1990-05-09,649200,18310000
1990-05-10,255200,20030000
1990-05-11,792800,31500000
1990-05-14,1964000,30510000
1990-05-15,771600,21100000
1990-05-16,720800,17030000
1990-05-17,686000,19090000
1990-05-18,331600,25250000
1990-05-21,656800,19430000
1990-05-22,416400,23850000
1990-05-23,340000,19840000
1990-05-24,1280400,22130000
1990-05-25,1758800,16250000
1990-05-29,1508000,17480000
1990-05-30,1298800,25180000
1990-05-31,664400,17810000
1990-06-01,3924400,22290000
1990-06-04,2379600,22270000
1990-06-05,1726800,24440000
1990-06-06,1209200,21050000
1990-06-07,621200,20260000
1990-06-08,552000,17640000
1990-06-11,576400,15100000
1990-06-12,482000,22290000
1990-06-13,658000,22680000
1990-06-14,445200,15180000
1990-06-15,709600,37820000
1990-06-18,360000,16230000
1990-06-19,390400,16440000
1990-06-20,470400,15350000
1990-06-21,649200,16540000
1990-06-22,998400,32380000
1990-06-25,1003200,17430000
1990-06-26,1097200,17270000
1990-06-27,891600,26410000
1990-06-28,336800,15790000
1990-06-29,449600,16150000
1990-07-02,387200,12300000
1990-07-03,474400,13910000
