Date,VZ,DOW
1989-12-15,25.181038,2739.550049
1989-12-18,24.478441,2697.530029
1989-12-19,24.225506,2695.610107
1989-12-20,24.113091,2687.929932
1989-12-21,24.084988,2691.129883
1989-12-22,24.534649,2711.389893
1989-12-26,24.337923,2709.260010
1989-12-27,24.534649,2724.399902
1989-12-28,24.618961,2732.300049
1989-12-29,25.012415,2753.199951
1990-01-02,25.630699,2810.149902
1990-01-03,25.574492,2809.729980
1990-01-04,24.590857,2796.080078
1990-01-05,24.02878,2773.250000
1990-01-08,24.225506,2794.370117
1990-01-09,23.551014,2766.000000
1990-01-10,22.93273,2750.639893
1990-01-11,23.017042,2760.669922
1990-01-12,22.033407,2689.209961
1990-01-15,22.11772,2669.370117
1990-01-16,22.34255,2692.620117
1990-01-17,22.033407,2659.129883
1990-01-18,21.9772,2666.379883
1990-01-19,22.20203,2677.899902
1990-01-22,21.190292,2600.449951
1990-01-23,21.527538,2615.320068
1990-01-24,21.358915,2604.500000
1990-01-25,21.274605,2561.040039
1990-01-26,21.330812,2559.229980
1990-01-29,21.38702,2553.379883
1990-01-30,21.302708,2543.239990
1990-01-31,21.9772,2590.540039
1990-02-01,22.061512,2586.260010
1990-02-02,22.005304,2602.699951
1990-02-05,21.639954,2622.520020
1990-02-06,21.021669,2606.310059
1990-02-07,20.853046,2640.090088
1990-02-08,20.628216,2644.370117
1990-02-09,20.824942,2648.199951
1990-02-12,20.712526,2619.139893
1990-02-13,20.628216,2624.100098
1990-02-14,20.628216,2624.320068
1990-02-15,20.712526,2649.550049
1990-02-16,20.459593,2635.590088
1990-02-20,19.616478,2596.850098
1990-02-21,19.504063,2583.560059
1990-02-22,19.475958,2574.770020
1990-02-23,19.532166,2564.189941
1990-02-26,19.785101,2602.479980
1990-02-27,19.981827,2617.120117
1990-02-28,20.206657,2627.250000
1990-03-01,20.431488,2635.590088
1990-03-02,20.5158,2660.360107
1990-03-05,20.572008,2649.550049
1990-03-06,21.049774,2676.800049
1990-03-07,20.853046,2669.590088
1990-03-08,21.077877,2696.169922
1990-03-09,20.881151,2683.330078
1990-03-12,20.909254,2686.709961
1990-03-13,20.600111,2674.550049
1990-03-14,20.37528,2687.840088
1990-03-15,20.319073,2695.719971
1990-03-16,20.459593,2741.219971
1990-03-19,20.628216,2755.629883
1990-03-20,20.459593,2738.739990
1990-03-21,20.37528,2727.929932
1990-03-22,20.319073,2695.719971
1990-03-23,20.600111,2704.280029
1990-03-26,20.684423,2707.659912
1990-03-27,20.965462,2736.939941
1990-03-28,21.021669,2743.689941
1990-03-29,21.021669,2727.699951
1990-03-30,21.218397,2707.209961
1990-04-02,21.415123,2700.449951
1990-04-03,21.780474,2736.709961
1990-04-04,21.358915,2719.370117
1990-04-05,21.162189,2721.169922
1990-04-06,21.274605,2717.120117
1990-04-09,21.218397,2722.070068
1990-04-10,21.162189,2731.080078
1990-04-11,21.330812,2729.729980
1990-04-12,21.639954,2751.800049
1990-04-16,21.949097,2763.060059
1990-04-17,22.005304,2765.770020
1990-04-18,21.808577,2732.879883
1990-04-19,21.555643,2711.939941
1990-04-20,21.471331,2695.949951
1990-04-23,21.190292,2666.669922
1990-04-24,20.993567,2654.500000
1990-04-25,21.105982,2666.439941
1990-04-26,21.049774,2676.580078
1990-04-27,20.853046,2645.050049
1990-04-30,21.021669,2656.760010
1990-05-01,21.2465,2668.919922
1990-05-02,21.302708,2689.639893
1990-05-03,21.527538,2696.169922
1990-05-04,21.9772,2710.360107
1990-05-07,22.258238,2721.620117
1990-05-08,22.370653,2733.560059
1990-05-09,22.370653,2732.879883
1990-05-10,22.426861,2738.510010
1990-05-11,23.213768,2801.580078
1990-05-14,23.719637,2821.530029
1990-05-15,23.494806,2822.449951
1990-05-16,23.607222,2819.679932
1990-05-17,23.607222,2831.709961
1990-05-18,23.88826,2819.909912
1990-05-21,23.775845,2844.679932
1990-05-22,23.719637,2852.229980
1990-05-23,23.775845,2856.260010
1990-05-24,23.213768,2855.550049
1990-05-25,22.93273,2820.919922
1990-05-29,23.607222,2870.489990
1990-05-30,23.382391,2878.560059
1990-05-31,23.438599,2876.659912
1990-06-01,23.382391,2900.969971
1990-06-04,23.551014,2935.189941
1990-06-05,23.438599,2925.000000
1990-06-06,23.494806,2911.649902
1990-06-07,23.213768,2897.330078
1990-06-08,23.045145,2862.379883
1990-06-11,23.15756,2892.570068
