Date,WMT,DOW
1989-04-20,4.453125,2377.379883
1989-04-21,4.546875,2409.459961
1989-04-24,4.515625,2402.679932
1989-04-25,4.453125,2386.850098
1989-04-26,4.4375,2389.100098
1989-04-27,4.46875,2418.989990
1989-04-28,4.5,2418.800049
1989-05-01,4.390625,2414.959961
1989-05-02,4.3125,2402.860107
1989-05-03,4.375,2393.699951
1989-05-04,4.453125,2384.899902
1989-05-05,4.46875,2381.959961
1989-05-08,4.40625,2376.469971
1989-05-09,4.390625,2371.330078
1989-05-10,4.390625,2374.449951
1989-05-11,4.421875,2382.879883
1989-05-12,4.578125,2439.699951
1989-05-15,4.640625,2463.889893
1989-05-16,4.703125,2453.449951
1989-05-17,4.75,2462.429932
1989-05-18,4.875,2470.120117
1989-05-19,4.90625,2501.100098
1989-05-22,4.90625,2502.020020
1989-05-23,4.78125,2478.010010
1989-05-24,4.8125,2483.870117
1989-05-25,4.796875,2482.590088
1989-05-26,4.828125,2493.770020
1989-05-30,4.8125,2475.550049
1989-05-31,4.734375,2480.149902
1989-06-01,4.8125,2490.629883
1989-06-02,4.890625,2517.830078
1989-06-05,4.828125,2480.699951
1989-06-06,4.90625,2496.320068
1989-06-07,5,2512.320068
1989-06-08,4.953125,2516.909912
1989-06-09,5,2513.419922
1989-06-12,4.9375,2518.840088
1989-06-13,4.921875,2503.540039
1989-06-14,4.90625,2503.360107
1989-06-15,4.828125,2475.000000
1989-06-16,4.859375,2486.379883
1989-06-19,4.9375,2479.889893
1989-06-20,5,2472.879883
1989-06-21,4.9375,2464.909912
1989-06-22,4.9375,2481.979980
1989-06-23,5.03125,2531.870117
1989-06-26,5.015625,2511.379883
1989-06-27,5.015625,2526.370117
1989-06-28,5,2504.739990
1989-06-29,4.859375,2458.270020
1989-06-30,4.765625,2440.060059
1989-07-03,4.765625,2452.770020
1989-07-05,4.75,2456.560059
1989-07-06,4.78125,2462.439941
1989-07-07,4.828125,2487.860107
1989-07-10,4.875,2502.659912
1989-07-11,4.953125,2514.610107
1989-07-12,4.96875,2532.629883
1989-07-13,4.9375,2538.320068
1989-07-14,4.96875,2554.820068
1989-07-17,5.046875,2553.489990
1989-07-18,5.046875,2544.760010
1989-07-19,5.234375,2584.409912
1989-07-20,5.140625,2575.489990
1989-07-21,5.34375,2607.360107
1989-07-24,5.296875,2584.979980
1989-07-25,5.1875,2583.080078
1989-07-26,5.28125,2613.050049
1989-07-27,5.359375,2635.429932
1989-07-28,5.328125,2635.239990
1989-07-31,5.40625,2660.659912
1989-08-01,5.3125,2641.120117
1989-08-02,5.234375,2657.439941
1989-08-03,5.25,2661.610107
1989-08-04,5.21875,2653.449951
1989-08-07,5.390625,2694.989990
1989-08-08,5.171875,2699.169922
1989-08-09,5.109375,2686.080078
1989-08-10,5.1875,2712.629883
1989-08-11,5.125,2683.989990
1989-08-14,5.09375,2677.919922
1989-08-15,5.09375,2687.780029
1989-08-16,5.109375,2693.290039
1989-08-17,5.109375,2679.629883
1989-08-18,5.1875,2687.969971
1989-08-21,5.0625,2647.000000
1989-08-22,5.09375,2650.989990
1989-08-23,5.140625,2678.110107
1989-08-24,5.296875,2734.639893
1989-08-25,5.296875,2732.360107
1989-08-28,5.296875,2743.360107
1989-08-29,5.21875,2726.629883
1989-08-30,5.25,2728.149902
1989-08-31,5.28125,2737.270020
1989-09-01,5.25,2752.090088
1989-09-05,5.25,2744.679932
