Date,UNH,DOW
1988-12-07,0.125,2153.629883
1988-12-08,0.125,2141.709961
1988-12-09,0.125,2143.489990
1988-12-12,0.128906,2139.580078
1988-12-13,0.125,2143.489990
1988-12-14,0.125,2134.250000
1988-12-15,0.128906,2133.000000
1988-12-16,0.128906,2150.709961
1988-12-19,0.132813,2172.679932
1988-12-20,0.128906,2166.070068
1988-12-21,0.128906,2164.639893
1988-12-22,0.125,2160.360107
1988-12-23,0.125,2168.929932
1988-12-27,0.121094,2162.679932
1988-12-28,0.128906,2166.429932
1988-12-29,0.136719,2182.679932
1988-12-30,0.140625,2168.570068
1989-01-03,0.132813,2144.639893
1989-01-04,0.132813,2177.679932
1989-01-05,0.132813,2190.540039
1989-01-06,0.132813,2194.290039
1989-01-09,0.132813,2199.459961
1989-01-10,0.132813,2193.209961
1989-01-11,0.140625,2206.429932
1989-01-12,0.136719,2222.320068
1989-01-13,0.140625,2226.070068
1989-01-16,0.140625,2224.639893
1989-01-17,0.140625,2214.639893
1989-01-18,0.136719,2238.750000
1989-01-19,0.140625,2239.110107
1989-01-20,0.140625,2235.360107
1989-01-23,0.140625,2218.389893
1989-01-24,0.140625,2256.429932
1989-01-25,0.148438,2265.889893
1989-01-26,0.158203,2291.070068
1989-01-27,0.167969,2322.860107
1989-01-30,0.164063,2324.110107
1989-01-31,0.160156,2342.320068
1989-02-01,0.15625,2338.209961
1989-02-02,0.160156,2333.750000
1989-02-03,0.171875,2331.250000
1989-02-06,0.179688,2321.070068
1989-02-07,0.189453,2347.139893
1989-02-08,0.183594,2343.209961
1989-02-09,0.179688,2323.040039
1989-02-10,0.179688,2286.070068
1989-02-13,0.183594,2282.500000
1989-02-14,0.179688,2281.250000
1989-02-15,0.185547,2303.929932
1989-02-16,0.1875,2311.429932
1989-02-17,0.203125,2324.820068
1989-02-21,0.203125,2326.429932
1989-02-22,0.199219,2283.929932
1989-02-23,0.195313,2289.459961
1989-02-24,0.203125,2245.540039
1989-02-27,0.195313,2250.360107
1989-02-28,0.199219,2258.389893
1989-03-01,0.203125,2243.040039
1989-03-02,0.214844,2265.709961
1989-03-03,0.234375,2274.290039
1989-03-06,0.230469,2294.820068
1989-03-07,0.21875,2290.709961
1989-03-08,0.238281,2295.540039
1989-03-09,0.234375,2291.429932
1989-03-10,0.232422,2282.139893
1989-03-13,0.222656,2306.250000
1989-03-14,0.21875,2306.250000
1989-03-15,0.222656,2320.540039
1989-03-16,0.21875,2340.709961
1989-03-17,0.207031,2292.139893
1989-03-20,0.195313,2262.500000
1989-03-21,0.203125,2266.250000
