Date,PG,DOW
1989-07-21,7.34375,2607.360107
1989-07-24,7.351563,2584.979980
1989-07-25,7.335938,2583.080078
1989-07-26,7.445313,2613.050049
1989-07-27,7.507813,2635.429932
1989-07-28,7.507813,2635.239990
1989-07-31,7.460938,2660.659912
1989-08-01,7.5,2641.120117
1989-08-02,7.492188,2657.439941
1989-08-03,7.460938,2661.610107
1989-08-04,7.25,2653.449951
1989-08-07,7.335938,2694.989990
1989-08-08,7.34375,2699.169922
1989-08-09,7.390625,2686.080078
1989-08-10,7.726563,2712.629883
1989-08-11,7.8125,2683.989990
1989-08-14,7.9375,2677.919922
1989-08-15,7.84375,2687.780029
1989-08-16,7.773438,2693.290039
1989-08-17,7.703125,2679.629883
1989-08-18,7.671875,2687.969971
1989-08-21,7.703125,2647.000000
1989-08-22,7.742188,2650.989990
1989-08-23,7.90625,2678.110107
1989-08-24,8.1875,2734.639893
1989-08-25,8.234375,2732.360107
1989-08-28,8.226563,2743.360107
1989-08-29,8.054688,2726.629883
1989-08-30,8.015625,2728.149902
1989-08-31,8.03125,2737.270020
1989-09-01,8.023438,2752.090088
1989-09-05,7.984375,2744.679932
1989-09-06,7.875,2719.790039
1989-09-07,7.796875,2706.879883
1989-09-08,7.757813,2709.540039
1989-09-11,7.734375,2704.409912
1989-09-12,7.703125,2707.260010
1989-09-13,7.585938,2679.520020
1989-09-14,7.46875,2664.889893
1989-09-15,7.4375,2674.580078
1989-09-18,7.59375,2687.500000
1989-09-19,7.671875,2687.310059
1989-09-20,7.703125,2683.889893
1989-09-21,7.617188,2680.280029
1989-09-22,7.492188,2681.610107
1989-09-25,7.421875,2659.189941
1989-09-26,7.398438,2663.939941
1989-09-27,7.304688,2673.060059
1989-09-28,7.546875,2694.909912
1989-09-29,7.5,2692.820068
1989-10-02,7.59375,2713.719971
1989-10-03,7.789063,2754.560059
1989-10-04,7.859375,2771.090088
1989-10-05,7.921875,2773.560059
1989-10-06,8.0625,2785.520020
1989-10-09,8.234375,2791.409912
1989-10-10,8.179688,2785.330078
1989-10-11,8.210938,2773.360107
1989-10-12,8.09375,2759.840088
1989-10-13,7.546875,2569.260010
1989-10-16,7.726563,2657.379883
1989-10-17,7.9375,2638.729980
1989-10-18,7.953125,2643.649902
1989-10-19,8,2683.199951
1989-10-20,8.117188,2689.139893
1989-10-23,8.164063,2662.909912
1989-10-24,8.34375,2659.219971
1989-10-25,8.125,2653.280029
1989-10-26,7.921875,2613.729980
1989-10-27,7.835938,2596.719971
1989-10-30,7.984375,2603.479980
1989-10-31,8.070313,2645.080078
1989-11-01,7.96875,2645.899902
1989-11-02,7.914063,2631.560059
1989-11-03,7.875,2629.510010
1989-11-06,7.84375,2582.169922
1989-11-07,7.90625,2597.129883
1989-11-08,8.070313,2623.360107
1989-11-09,7.914063,2603.689941
1989-11-10,7.960938,2625.610107
1989-11-13,7.992188,2626.429932
1989-11-14,7.945313,2610.250000
1989-11-15,8.09375,2632.580078
1989-11-16,8.085938,2635.659912
1989-11-17,8.09375,2652.659912
1989-11-20,8.09375,2632.040039
1989-11-21,8.125,2639.290039
1989-11-22,8.234375,2656.780029
1989-11-24,8.28125,2675.550049
1989-11-27,8.1875,2694.969971
1989-11-28,8.078125,2702.010010
1989-11-29,8.078125,2688.780029
1989-11-30,8.09375,2706.270020
1989-12-01,8.234375,2747.649902
1989-12-04,8.3125,2753.629883
1989-12-05,8.1875,2741.679932
1989-12-06,8.109375,2736.770020
1989-12-07,8.078125,2720.780029
1989-12-08,8.140625,2731.439941
1989-12-11,8.15625,2728.239990
1989-12-12,8.53125,2752.129883
1989-12-13,8.5625,2761.090088
1989-12-14,8.546875,2753.629883
1989-12-15,8.515625,2739.550049
1989-12-18,8.359375,2697.530029
1989-12-19,8.4375,2695.610107
1989-12-20,8.453125,2687.929932
1989-12-21,8.40625,2691.129883
1989-12-22,8.53125,2711.389893
1989-12-26,8.484375,2709.260010
1989-12-27,8.5,2724.399902
1989-12-28,8.671875,2732.300049
1989-12-29,8.78125,2753.199951
1990-01-02,8.8125,2810.149902
1990-01-03,8.796875,2809.729980
1990-01-04,8.625,2796.080078
1990-01-05,8.46875,2773.250000
1990-01-08,8.625,2794.370117
1990-01-09,8.625,2766.000000
1990-01-10,8.671875,2750.639893
1990-01-11,8.796875,2760.669922
1990-01-12,8.46875,2689.209961
1990-01-15,8.5,2669.370117
1990-01-16,8.609375,2692.620117
1990-01-17,8.5625,2659.129883
1990-01-18,8.6875,2666.379883
1990-01-19,8.625,2677.899902
1990-01-22,8.421875,2600.449951
1990-01-23,8.265625,2615.320068
1990-01-24,8.28125,2604.500000
1990-01-25,7.84375,2561.040039
1990-01-26,7.890625,2559.229980
1990-01-29,7.828125,2553.379883
1990-01-30,7.84375,2543.239990
1990-01-31,8,2590.540039
1990-02-01,8.078125,2586.260010
1990-02-02,8.140625,2602.699951
1990-02-05,8.203125,2622.520020
1990-02-06,8.140625,2606.310059
1990-02-07,8.234375,2640.090088
1990-02-08,8.1875,2644.370117
1990-02-09,8.28125,2648.199951
1990-02-12,8.140625,2619.139893
1990-02-13,8.140625,2624.100098
1990-02-14,8.203125,2624.320068
1990-02-15,8.328125,2649.550049
1990-02-16,8.359375,2635.590088
1990-02-20,8.15625,2596.850098
1990-02-21,8.078125,2583.560059
1990-02-22,7.890625,2574.770020
1990-02-23,7.8125,2564.189941
1990-02-26,7.890625,2602.479980
1990-02-27,7.890625,2617.120117
1990-02-28,7.984375,2627.250000
1990-03-01,7.921875,2635.590088
1990-03-02,7.921875,2660.360107
1990-03-05,7.921875,2649.550049
1990-03-06,7.921875,2676.800049
1990-03-07,7.921875,2669.590088
1990-03-08,8.125,2696.169922
1990-03-09,8.109375,2683.330078
1990-03-12,8.015625,2686.709961
1990-03-13,8.015625,2674.550049
1990-03-14,8.140625,2687.840088
1990-03-15,8.078125,2695.719971
1990-03-16,8.28125,2741.219971
1990-03-19,8.4375,2755.629883
1990-03-20,8.515625,2738.739990
1990-03-21,8.5,2727.929932
1990-03-22,8.34375,2695.719971
1990-03-23,8.40625,2704.280029
1990-03-26,8.515625,2707.659912
1990-03-27,8.625,2736.939941
1990-03-28,8.609375,2743.689941
1990-03-29,8.53125,2727.699951
1990-03-30,8.46875,2707.209961
1990-04-02,8.453125,2700.449951
1990-04-03,8.65625,2736.709961
1990-04-04,8.53125,2719.370117
1990-04-05,8.59375,2721.169922
1990-04-06,8.578125,2717.120117
1990-04-09,8.71875,2722.070068
1990-04-10,8.859375,2731.080078
1990-04-11,8.84375,2729.729980
1990-04-12,8.90625,2751.800049
1990-04-16,8.90625,2763.060059
1990-04-17,8.921875,2765.770020
1990-04-18,8.78125,2732.879883
1990-04-19,8.65625,2711.939941
1990-04-20,8.578125,2695.949951
1990-04-23,8.5,2666.669922
1990-04-24,8.546875,2654.500000
1990-04-25,8.6875,2666.439941
1990-04-26,8.84375,2676.580078
1990-04-27,8.734375,2645.050049
