Date,WBA,DOW
2014-09-18,5643000,85300000
2014-09-19,5705200,349620000
2014-09-22,11087200,74300000
2014-09-23,9194700,77090000
2014-09-24,7328100,80530000
2014-09-25,5290600,93520000
2014-09-26,7464300,74670000
2014-09-29,8862600,70220000
2014-09-30,11411100,102290000
2014-10-01,6018600,104240000
2014-10-02,5308000,75490000
2014-10-03,8758600,87940000
2014-10-06,4794200,655450000
2014-10-07,4381100,79420000
2014-10-08,4981300,106930000
2014-10-09,7798200,93210000
2014-10-10,10002500,136370000
2014-10-13,6623700,107830000
2014-10-14,8488500,110410000
2014-10-15,8037900,160380000
2014-10-16,6558000,131670000
2014-10-17,8115000,137910000
2014-10-20,7017600,94320000
2014-10-21,7455800,105110000
2014-10-22,5314200,92050000
2014-10-23,3964800,99420000
2014-10-24,4331800,90400000
2014-10-27,3628100,72580000
2014-10-28,3395600,83870000
2014-10-29,3318800,76450000
2014-10-30,5036900,80180000
2014-10-31,5531000,121610000
2014-11-03,4865400,80030000
2014-11-04,4208300,81390000
2014-11-05,4810500,76030000
2014-11-06,5114800,70670000
2014-11-07,4773800,82860000
2014-11-10,5954200,71430000
2014-11-11,3851500,52880000
